id,title,location,city,price,original_price,discount,m2,rooms,air,terrace,storage,garage,outside,wardrobes,pool,garden,status,satus,has_elevator,property_type,floor_number,price_m2
105524272,Piso en venta en Pedralbes,Les Corts,Barcelona,1550000.0,1550000,0,252.0,4.0,1,1,1,1,1,1,1,0,0,A reformar,1,2,8.0,6150.793650793651
105008139,Piso en venta en calle de Gelabert,Les Corts,Barcelona,259000.0,259000,0,80.0,2.0,1,0,0,0,1,0,0,0,0,Buen estado,1,2,0.0,3237.5
103614426,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,0,1,0,0,1,0,0,0,0,Buen estado,0,0,2.0,5162.337662337663
105573126,Piso en venta en calle de Joan Güell,Les Corts,Barcelona,298000.0,298000,0,60.0,3.0,0,0,0,0,0,0,0,0,0,Buen estado,0,0,2.0,4966.666666666667
105814335,"Piso en venta en travesía de les Corts, 138",La Maternitat i Sant Ramon,Barcelona,330000.0,330000,0,88.0,4.0,1,0,0,0,1,0,0,0,0,Buen estado,1,2,2.0,3750.0
105171069,Piso en venta en avenida de Madrid,Les Corts,Barcelona,355000.0,355000,0,70.0,2.0,1,0,0,0,1,0,0,0,0,Buen estado,1,2,8.0,5071.428571428572
100598885,Piso en venta en Gran Via de Carles III,Les Corts,Barcelona,335000.0,335000,0,75.0,3.0,0,0,0,0,1,1,0,0,0,Buen estado,0,2,0.0,4466.666666666667
104927049, Casa o chalet independiente en venta en calle de l'Abadessa Olzet,Pedralbes,Barcelona,7000000.0,7000000,0,510.0,5.0,1,1,1,1,0,1,1,0,0,Buen estado,0,0,2.0,13725.490196078432
105440038,Piso en venta en avenida de Sant Ramon Nonat,La Maternitat i Sant Ramon,Barcelona,432000.0,432000,0,82.0,2.0,1,1,0,0,0,0,0,0,0,Buen estado,0,0,2.0,5268.292682926829
105426190,Ático en venta en calle del Comte de Güell,La Maternitat i Sant Ramon,Barcelona,315000.0,330000,0,75.0,1.0,0,1,0,0,1,0,0,0,0,Buen estado,1,2,6.0,4200.0
104981527,Piso en venta en calle de l'Equador,Les Corts,Barcelona,260000.0,260000,0,68.0,2.0,0,0,0,0,0,0,0,0,0,Buen estado,0,1,2.0,3823.529411764706
105103877,Piso en venta en Gran Via de Carles III,Les Corts,Barcelona,335000.0,335000,0,65.0,3.0,0,0,0,0,1,0,0,0,0,Buen estado,1,2,0.0,5153.846153846154
105239149,Ático en venta en avenida de Pedralbes,Pedralbes,Barcelona,3950000.0,3950000,0,546.0,5.0,1,1,1,1,1,1,0,0,0,Buen estado,1,2,7.0,7234.4322344322345
105094779,Piso en venta en calle de Manuel Ballbè,Pedralbes,Barcelona,1475000.0,1475000,0,266.0,4.0,1,0,0,1,1,1,1,0,0,Buen estado,1,2,8.0,5545.112781954887
105439283,Piso en venta en avenida de Sant Ramon Nonat,La Maternitat i Sant Ramon,Barcelona,432000.0,432000,0,82.0,2.0,1,1,0,0,0,0,0,0,0,Buen estado,1,1,1.0,5268.292682926829
104982317,Piso en venta en calle de l'Equador,Les Corts,Barcelona,260000.0,260000,0,68.0,2.0,0,0,0,0,0,0,0,0,0,Buen estado,0,1,2.0,3823.529411764706
105537753,Piso en venta en Les Corts,Les Corts,Barcelona,340000.0,340000,0,70.0,2.0,1,0,0,0,1,0,0,0,0,Buen estado,1,2,3.0,4857.142857142857
103617436,Piso en venta en calle del Capità Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,6.0,0,0,0,0,0,0,0,0,0,Buen estado,0,0,2.0,5162.337662337663
105976624,Piso en venta en Gran Via de Carles III,Les Corts,Barcelona,335000.0,335000,0,65.0,3.0,1,0,0,0,0,0,0,0,0,Buen estado,0,0,0.0,5153.846153846154
105899884,Piso en venta en calle del Cardenal Reig,La Maternitat i Sant Ramon,Barcelona,320000.0,320000,0,89.0,4.0,0,0,0,0,1,1,0,0,0,Buen estado,1,2,3.0,3595.505617977528
105213492,Piso en venta en travesía de les Corts,Les Corts,Barcelona,610000.0,610000,0,130.0,4.0,0,1,0,0,1,0,0,0,0,Buen estado,1,2,1.0,4692.307692307692
103599422,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,0,1,0,0,1,1,0,0,0,Buen estado,1,2,1.0,5162.337662337663
101589988,Piso en venta en calle de Benavent,La Maternitat i Sant Ramon,Barcelona,315000.0,315000,0,75.0,3.0,1,1,0,0,0,0,0,0,0,Buen estado,1,1,2.0,4200.0
105909907,Piso en venta en plaza de Comas,Les Corts,Barcelona,1700000.0,1700000,0,380.0,7.0,1,1,0,0,1,0,0,0,0,Buen estado,0,0,2.0,4473.684210526316
105704251,Piso en venta en La Maternitat i Sant Ramon,Les Corts,Barcelona,299000.0,299000,0,79.0,3.0,1,0,0,0,1,0,0,0,0,Buen estado,1,2,4.0,3784.8101265822784
104795309,Piso en venta en calle del Capità Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,1,1,0,0,1,0,0,0,0,Buen estado,1,2,0.0,5162.337662337663
105704251,Piso en venta en La Maternitat i Sant Ramon,Les Corts,Barcelona,299000.0,299000,0,79.0,3.0,1,0,0,0,1,0,0,0,0,Buen estado,1,2,4.0,3784.8101265822784
103623025,Piso en venta en calle del Capità Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,0,1,0,0,1,1,0,0,0,Buen estado,1,2,1.0,5162.337662337663
103598166,Piso en venta en calle del Capità Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,6.0,0,0,0,0,0,0,0,0,0,Buen estado,0,0,2.0,5162.337662337663
103333118,Piso en venta en calle de Berlín,Les Corts,Barcelona,270000.0,270000,0,76.0,1.0,1,0,0,0,0,0,0,0,0,Buen estado,1,1,0.0,3552.6315789473683
104217298,Piso en venta en avenida de Sarrià,Les Corts,Barcelona,1000000.0,1000000,0,180.0,4.0,1,0,1,0,1,1,0,0,0,Buen estado,1,2,5.0,5555.555555555556
105521342,Piso en venta en Pedralbes,Les Corts,Barcelona,2500000.0,2500000,0,280.0,5.0,0,0,0,0,0,0,0,0,0,Buen estado,0,0,3.0,8928.57142857143
104786572,Ático en venta en La Maternitat i Sant Ramon,Les Corts,Barcelona,450000.0,450000,0,62.0,2.0,1,1,0,0,1,0,0,0,0,Buen estado,1,2,8.0,7258.064516129032
102593216,Piso en venta en travesía de les Corts,La Maternitat i Sant Ramon,Barcelona,375000.0,375000,0,86.0,4.0,0,1,1,0,1,0,0,0,0,A reformar,1,2,3.0,4360.46511627907
105758746,"Piso en venta en calle de González Tablas, 17",Pedralbes,Barcelona,820000.0,820000,0,134.0,3.0,1,1,1,1,1,1,0,0,0,Buen estado,1,2,4.0,6119.4029850746265
103726746,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,0,1,1,0,1,0,0,0,0,Buen estado,1,2,0.0,5162.337662337663
104416651,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,0,0,0,0,0,0,0,0,0,Buen estado,0,0,2.0,5162.337662337663
104869152,Piso en venta en carretera de Collblanc,La Maternitat i Sant Ramon,Barcelona,388000.0,388000,0,73.0,1.0,1,1,1,1,1,1,0,0,0,Buen estado,1,2,6.0,5315.068493150685
105706791,Piso en venta en avenida de Madrid,La Maternitat i Sant Ramon,Barcelona,329900.0,329900,0,104.0,4.0,0,1,0,0,1,1,0,0,0,A reformar,0,0,2.0,3172.1153846153848
105887117,Piso en venta en calle de Berlín,Les Corts,Barcelona,389000.0,389000,0,100.0,3.0,0,0,0,0,1,1,0,0,0,Buen estado,1,2,1.0,3890.0
101974322,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,0,1,0,0,1,1,0,0,0,Buen estado,1,2,1.0,5162.337662337663
105962920,Piso en venta en calle de Lluçà,Les Corts,Barcelona,320000.0,320000,0,73.0,3.0,0,0,0,0,1,0,0,0,0,Buen estado,1,2,1.0,4383.561643835616
105808786,Piso en venta en La Maternitat i Sant Ramon,Les Corts,Barcelona,315000.0,315000,0,80.0,3.0,1,0,0,0,1,0,0,0,0,Buen estado,0,2,3.0,3937.5
105005680,Piso en venta en Les Corts,Les Corts,Barcelona,255000.0,255000,0,55.0,3.0,1,1,1,0,1,0,0,0,0,Buen estado,0,2,3.0,4636.363636363636
104092368,Piso en venta en Pedralbes,Les Corts,Barcelona,1395000.0,1395000,0,252.0,6.0,1,1,1,1,1,1,1,0,0,A reformar,1,2,1.0,5535.714285714285
