,Unnamed: 0.1,Unnamed: 0,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2,status
175,175,175,104584782,Piso en venta en calle de Benavent,La Maternitat i Sant Ramon,Barcelona,315000.0,315000,0,85.0,4.0,Planta 4ª exterior con ascensor,True,False,False,True,False,True,False,False,False,A reformar,,,
176,176,176,104741548,Piso en venta en calle del Vallespir,Les Corts,Barcelona,220000.0,220000,0,63.0,3.0,Planta 3ª interior con ascensor,False,False,False,True,False,False,False,False,False,A reformar,999,99,
177,177,177,105980094,Piso en venta en avenida de Sant Ramon Nonat,La Maternitat i Sant Ramon,Barcelona,432000.0,432000,0,82.0,2.0,,True,True,False,True,False,False,False,False,False,Buen estado,,,
178,178,178,101340492,"Piso en venta en calle de Carreras, 6",Pedralbes,Barcelona,850000.0,850000,0,140.0,4.0,Planta 1ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,,,
179,179,179,105551031,Piso en venta en calle del Vallespir,Les Corts,Barcelona,220000.0,220000,0,63.0,3.0,Planta 3ª interior con ascensor,False,False,False,True,False,False,False,False,False,A reformar,999,99,
180,180,180,105756815,"Piso en venta en avenida de Pedralbes, 20",Pedralbes,Barcelona,1500000.0,1500000,0,253.0,4.0,Planta 8ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,,
181,181,181,103736830,Piso en venta en avenida de Sarrià,Les Corts,Barcelona,1000000.0,1000000,0,175.0,4.0,Planta 3ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,,
182,182,182,105551031,Piso en venta en calle del Vallespir,Les Corts,Barcelona,220000.0,220000,0,63.0,3.0,Planta 3ª interior con ascensor,False,False,False,True,False,False,False,False,False,A reformar,999,99,
183,183,183,105430582,Ático en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,110.0,4.0,Planta 9ª exterior con ascensor,True,True,False,True,False,True,False,False,False,Buen estado,191,39,
184,184,184,105980094,Piso en venta en avenida de Sant Ramon Nonat,La Maternitat i Sant Ramon,Barcelona,432000.0,432000,0,82.0,2.0,,True,True,False,True,False,False,False,False,False,Buen estado,,,
185,185,185,105438469,Ático en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,110.0,4.0,Planta 8ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,191,39,
186,186,186,105774724,Piso en venta en calle de l'Alfambra,Pedralbes,Barcelona,650000.0,650000,0,83.0,2.0,Planta 4ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,,
